dataset,user_id_max,creative_id_start,creative_id_end,max_len,embedding_size,epochs,batch_size,RMSProp,preprocess,network,parameters,first_loss,first_acc,max_loss,max_acc,max_epoch,last_loss,last_acc,test_loss,test_acc,over_fit,over_epoch,all_test_loss,all_test_acc
no_sequence,900k,,781240,32,32,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.7548,0.3094,1.5333,0.3864,9,1.9014,0.3711,1.902,0.3703,TRUE,10,2.0451,0.3667
no_sequence,900k,,781240,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64",1.7804,0.2994,1.536,0.3837,14,1.5578,0.3824,1.5555,0.3822,TRUE,15,1.5567,0.3941
no_sequence,900k,,1.1m,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.8889,0.2645,1.6321,0.3521,14,1.6967,0.349,1.6914,0.3518,TRUE,10,1.7713,0.3507
no_sequence,900k,0,1.28m,128,64,40,512,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,32",1.8867,0.2753,1.5716,0.3792,38,1.5827,0.3757,1.5786,0.3766,TRUE,27,1.596,0.3802
no_sequence,900k,0,1.28m,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,1.9854,0.2262,1.5857,0.3647,20,1.6632,0.3601,1.6643,0.3575,TRUE,17,1.7959,0.3536
no_sequence,900k,,1.6m,64,32,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.8889,0.2645,1.6321,0.3521,14,1.6967,0.349,1.6914,0.3518,TRUE,10,1.7713,0.3507
5m,150k,,100k,48,256,20,256,0.0006,no_start,GlobalMaxPooling1D,,,0.2303,,0.324,10,,0.3144,,0.3138,TRUE,11,,0.3138
all,900k,,100k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,,0.3056,,0.3875,11,,0.3771,,0.3773,TRUE,11,,0.3773
all,900k,,100k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,,0.3277,,0.3947,7,,0.3728,,0.3716,TRUE,7,,0.3716
no_sequence,900k,,100k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.741,0.3104,1.5404,0.381,8,1.7081,0.3688,1.7037,0.3701,TRUE,7,1.8308,0.364
no_sequence,900k,,100k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6799,0.3301,1.5244,0.3862,6,1.8785,0.3632,1.8784,0.3619,TRUE,6,2.1743,0.3515
no_sequence,900k,,100k,128,384,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6484,0.3411,1.5149,0.3885,5,2.0149,0.3593,2.0143,0.36,TRUE,5,2.1132,0.3532
all,900k,,125k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,,0.3273,,0.3964,6,,0.3732,,0.3718,TRUE,6,,0.3718
no_sequence,900k,,125k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.745,0.3101,1.5301,0.3881,9,1.7259,0.3758,1.7225,0.3758,TRUE,7,1.8924,0.3693
no_sequence,900k,,125k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6856,0.3307,1.5089,0.394,6,1.9351,0.3716,1.9428,0.3667,TRUE,6,2.2779,0.3578
no_sequence,900k,,125k,128,384,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6577,0.3374,1.5026,0.3958,5,2.0838,0.3672,2.0921,0.3641,TRUE,5,2.1865,0.3599
all,900k,,150k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6969,0.3269,1.5031,0.3963,6,1.9955,0.3743,,0.3736,TRUE,6,,0.3736
all,900k,,150k,256,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6931,0.3269,1.505,0.396,6,2.0045,0.3732,2.0116,0.3724,TRUE,6,2.0116,0.3724
no_sequence,900k,,150k,256,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6866,0.329,1.5066,0.3962,6,1.9735,0.3696,1.974,0.3707,TRUE,6,1.974,0.3707
